Date,,Name,Type,Details
1-Jan,Sunday,New Year's Day,National holiday,
6-Jan,Friday,Epiphany,National holiday,
14-Apr,Friday,Good Friday,National holiday,
1-May,Monday,Labor Day / May Day,National holiday,
15-Aug,Tuesday,Assumption of Mary,National holiday,
12-Oct,Thursday,Hispanic Day,National holiday,
1-Nov,Wednesday,All Saint's Day Holiday,National holiday,All
6-Dec,Wednesday,Constitution Day Holiday,National holiday,"All except AN, AR, CE, CL, EX, LO, M, ML, MU, O, VC"
8-Dec,Friday,Immaculate Conception,National holiday,
25-Dec,Monday,Christmas Day,National holiday,
